"","DATE","baa","fedfunds","gs10","paclaims","pcepi","pcepilfe","pghcivlabforce","pghempmanuf","pghpermits","pghunemp"
"1","2001m1",7.93,5.98,5.16,32670,79.265,81.592,143800,128.914531309759,419.569387170957,5.2
"2","2001m2",7.87,5.49,5.1,22619,79.388,81.736,143701,128.322038859653,456.423102228224,5.1
"3","2001m3",7.84,5.31,4.89,21618,79.395,81.821,143924,127.336484285648,488.455871288917,5
"4","2001m4",8.07,4.8,5.14,22037,79.534,81.951,143569,126.301866710372,724.070876056842,4.3
"5","2001m5",8.07,4.21,5.39,20420,79.743,81.97,143318,124.808361512381,463.91102456862,4.5
"6","2001m6",7.97,3.97,5.28,23478,79.885,82.154,143357,124.055384700824,509.921858589116,4.9
"7","2001m7",7.97,3.77,5.24,23281,79.858,82.366,143654,123.311557584357,530.652360700458,4.7
"8","2001m8",7.85,3.65,4.97,18508,79.848,82.406,143284,122.562842642107,502.314954512041,4.8
"9","2001m9",8.03,3.07,4.73,19097,79.577,81.939,143989,121.468416388385,469.681199988134,4.4
"10","2001m10",7.91,2.49,4.57,23151,79.857,82.516,144086,120.383584299491,495.950210167409,4.6
"11","2001m11",7.81,2.09,4.65,24697,79.803,82.683,144240,119.497648855843,416.605602893774,5
"12","2001m12",8.05,1.82,5.09,35818,79.721,82.702,144305,118.490554461231,501.248005189373,5
"13","2002m1",7.87,1.73,5.04,36378,79.793,82.75,143883,117.460718972134,681.494950240969,6.4
"14","2002m2",7.89,1.74,4.91,24160,79.926,82.907,144653,116.796821497195,498.87842821359,6.2
"15","2002m3",8.11,1.73,5.28,22142,80.144,83.006,144481,116.182654072295,476.82528872657,6
"16","2002m4",8.03,1.75,5.21,21007,80.479,83.238,144725,115.718703932751,574.169078234828,5.4
"17","2002m5",8.09,1.75,5.16,19952,80.531,83.331,144938,115.628277863494,586.333368927254,5.4
"18","2002m6",7.95,1.75,4.93,21194,80.632,83.463,144808,115.259644928021,584.224809336518,5.7
"19","2002m7",7.9,1.73,4.65,21126,80.81,83.632,144803,114.493765065703,611.095430955575,5.7
"20","2002m8",7.58,1.74,4.26,17799,80.969,83.797,145009,114.511147147862,591.893858909521,5.4
"21","2002m9",7.4,1.75,3.87,17680,81.115,83.934,145552,114.301908759299,675.052373085683,5
"22","2002m10",7.73,1.75,3.94,21279,81.262,84.005,145314,114.289777298162,707.23363061312,5.1
"23","2002m11",7.62,1.34,4.05,24103,81.343,84.087,145041,113.820394795545,472.805240588367,5.5
"24","2002m12",7.45,1.24,4.03,37519,81.421,84.165,145066,113.190972599216,541.772001587645,5.7
"25","2003m1",7.35,1.24,4.05,36393,81.664,84.223,145937,113.472570616008,520.46182105189,6.7
"26","2003m2",7.06,1.26,3.9,26729,82.009,84.339,146100,111.314139015641,538.020430903611,6.7
"27","2003m3",6.95,1.25,3.81,23718,82.219,84.474,146022,110.77954107263,486.465004457122,6.3
"28","2003m4",6.85,1.26,3.96,24000,82.08,84.568,146474,110.732301693223,500.755242748578,5.6
"29","2003m5",6.38,1.26,3.57,20033,81.986,84.69,146500,109.696669165664,520.921939469,5.8
"30","2003m6",6.19,1.22,3.33,24364,82.074,84.738,147056,108.777284694637,457.221802860472,6.3
"31","2003m7",6.62,1.01,3.98,22663,82.315,84.949,146485,107.852127650241,494.833737614258,6.1
"32","2003m8",7.01,1.03,4.45,17901,82.593,85.045,146445,106.861070442443,587.379334936046,5.7
