"","DATE","pghngdp","fpi","patax","pghaww","pghawwp","pghhouse","pghmanuf","pghqwage"
"1","2001q1",82875190246.9748,2001.963,6240,671.574162646014,663.361979349349,124.81,-2.4,9718079480.54441
"2","2001q2",81992656948.4225,1984.593,6559,669.777429459512,662.136208397764,126.18,-4.8,9614592191.83956
"3","2001q3",81792737162.2175,1975.026,5102,672.411654866889,661.68163603417,127.58,-5.9,9591149272.83951
"4","2001q4",81286517481.9163,1930.92,4751,669.750796362682,660.357237395886,129.14,-5.9,9531789130.52041
"5","2002q1",84591794572.5167,1912.366,6063,677.445269728861,667.197336001316,131.01,-3,9640983926.89106
"6","2002q2",84863698820.1939,1912.113,6219,681.448517597514,671.72840664993,131.74,0.3,9671973037.5342
"7","2002q3",85185113197.5145,1907.764,5342,685.344986033634,673.876580903253,133.92,3,9708604851.07214
"8","2002q4",85187809499.8703,1909.528,5046,685.926497091591,675.406547269622,135.48,3.8,9708912150.47163
"9","2003q1",88014708079.8046,1934.14,6480,688.853769364119,678.427482632938,136.74,3,9702869040.04438
"10","2003q2",88623971414.9087,1978.873,6319,696.492129887873,685.847351421969,138.08,0.6,9770035113.53809
"11","2003q3",89201588441.0124,2043.866,5537,702.122975172217,693.969225866725,139.46,0.3,9833712452.04045
"12","2003q4",90489816518.8898,2094.966,5332,711.657817567701,703.948680760224,142.04,1.4,9975728583.27636
"13","2004q1",91779333603.2248,2108.027,7018,708.69754255327,697.836962620044,143.66,1.3,9962903644.76414
"14","2004q2",92988391300.6261,2188.618,7237,717.42510622222,707.146346583614,144.58,2.5,10094150243.1786
"15","2004q3",94588472771.8281,2254.106,6124,730.329847423065,720.171365245654,146.54,2.8,10267843567.1057
"16","2004q4",97703944008.1665,2317.993,5743,753.305738973284,744.686538929533,148.69,3.3,10606036693.1297
"17","2005q1",94438553607.0188,2383.59,7616,716.364286929597,707.914572273483,149.61,4.5,10062236648.7568
"18","2005q2",98260428231.7979,2447.639,7779,744.548375749313,736.711574372667,151.78,4.5,10469449650.7309
"19","2005q3",101751032172.617,2518.722,6513,768.977308424705,761.017026188545,153.74,3.4,10841366432.1522
"20","2005q4",99891171474.6376,2558.875,6039,755.356327038315,749.078244004234,153.51,3.2,10643202041.0004
"21","2006q1",99900837115.3301,2631.526,8052,770.68933263844,763.338887398575,154.51,2.1,10874198627.4409
"22","2006q2",101579506777.244,2633.739,8446,783.441933469267,778.167521936484,154.96,1.5,11056921694.24
"23","2006q3",101812172076.904,2630.666,6742,783.573557835653,777.725003934959,155.37,2,11082247294.6581
"24","2006q4",103869597868.216,2631.93,6370,797.422749019163,794.194602846874,157.47,1,11306197937.7355
"25","2007q1",107023512684.151,2642.923,8759,824.329585670843,822.964361301611,158.11,1.6,11717790356.7623
"26","2007q2",106624315641.487,2656.992,8967,819.829398834055,814.876852794453,158.93,3.3,11674083070.9551
"27","2007q3",107682284192.588,2641.047,7248,826.788667394937,823.339498164169,159.04,3.3,11789917931.6781
"28","2007q4",107939439531.247,2615.279,6722,827.987873654176,823.964595247474,160.11,3.4,11818073355.3972
"29","2008q1",110870003619.757,2580.374,9029,845.280874333455,842.261407182964,162.7,1.4,12078255803.3389
"30","2008q2",111635796885.316,2562.847,9125,849.64078804712,847.147525731614,161.39,-2.1,12161681857.7442
"31","2008q3",110984504464.953,2514.067,7085,845.482555462355,842.220842329028,160.48,-5.8,12090729605.5651
"32","2008q4",111470101746.626,2370.13,6478,851.721072792401,848.685833984797,160.1,-11.5,12143630913.3487
"33","2009q1",110860113010.065,2165.874,8534,842.660848991649,837.476513584946,163.54,-16.4,11816163720.319
"34","2009q2",109728738423.973,2059.651,7904,840.6589075681,834.862912467004,163.13,-16.6,11695574745.8422
"35","2009q3",109053533697.992,2045.422,6644,841.02229781539,834.913841726727,161.08,-11.4,11623607206.1176
"36","2009q4",113650555060.626,2050.795,6315,875.137117555249,869.07048130503,161.28,-4.3,12113586474.3306
"37","2010q1",110682108079.021,2039.398,8517,837.925014803669,830.8534199825,160.89,4.1,11516299021.3019
"38","2010q2",116547006696.712,2112.087,9039,872.563493326912,866.659929133312,161.3,9.5,12126532485.2573
"39","2010q3",117950134544.689,2123.598,7006,879.432417976899,875.965864574262,164.38,8,12272525727.913
"40","2010q4",122015290893.027,2171.138,6751,904.910700319122,899.513668482902,164.43,6.5,12695498843.3363
"41","2011q1",117741343755.101,2173.885,9503,883.167543606669,879.962873977113,162.85,5.4,12379604518.1027
"42","2011q2",121864942158.839,2236.305,9085,908.883977339358,901.563330324376,163.61,2.4,12813169447.818
"43","2011q3",125954378518.837,2334.873,7213,936.773047918821,932.047055662689,164.52,2,13243142499.1195
"44","2011q4",121547512248.004,2400.138,6856,897.694868969223,893.118758496453,165.68,2,12779794113.0967
"45","2012q1",126281737425.681,2487.473,9892,944.140432993624,940.860775249996,164.72,1.7,13408831658.1165
"46","2012q2",124659894838.091,2545.458,9016,927.614990959765,926.125478571467,165.73,1.7,13236621371.2113
"47","2012q3",125687283175.744,2559.69,7337,936.17602156371,932.816232673415,167.37,0.6,13345711391.2565
