DATE,GDP,GDP_BA06RC1A027NBEA
1947-01-01,249615500000.0000000000000000,.
1948-01-01,274467750000.0000000000000000,.
1949-01-01,272475250000.0000000000000000,.
1950-01-01,299827250000.0000000000000000,.
1951-01-01,346913250000.0000000000000000,.
1952-01-01,367340750000.0000000000000000,.
1953-01-01,389217500000.0000000000000000,.
1954-01-01,390549000000.0000000000000000,.
1955-01-01,425479500000.0000000000000000,.
1956-01-01,449352500000.0000000000000000,.
1957-01-01,474039500000.0000000000000000,.
1958-01-01,481228500000.0000000000000000,.
1959-01-01,521654250000.0000000000000000,.
1960-01-01,542382250000.0000000000000000,.
1961-01-01,562209750000.0000000000000000,.
1962-01-01,603921500000.0000000000000000,.
1963-01-01,637451500000.0000000000000000,.
1964-01-01,684461500000.0000000000000000,.
1965-01-01,742290250000.0000000000000000,.
1966-01-01,813413750000.0000000000000000,.
1967-01-01,859956250000.0000000000000000,.
1968-01-01,940646500000.0000000000000000,.
1969-01-01,1017615000000.0000000000000000,.
1970-01-01,1073310500000.0000000000000000,.
1971-01-01,1164849750000.0000000000000000,.
1972-01-01,1279112000000.0000000000000000,.
1973-01-01,1425376000000.0000000000000000,.
1974-01-01,1545242500000.0000000000000000,.
1975-01-01,1684905000000.0000000000000000,.
1976-01-01,1873412500000.0000000000000000,.
1977-01-01,2081825000000.0000000000000000,.
1978-01-01,2351598750000.0000000000000000,.
1979-01-01,2627326250000.0000000000000000,.
1980-01-01,2857308500000.0000000000000000,.
1981-01-01,3207041250000.0000000000000000,.
1982-01-01,3343789250000.0000000000000000,0.44236848958109426304
1983-01-01,3634036500000.0000000000000000,0.43024884312526855468
1984-01-01,4037614000000.0000000000000000,0.42549931717098266451
1985-01-01,4338980500000.0000000000000000,0.42590626991755321325
1986-01-01,4579632500000.0000000000000000,0.42831515410898145211
1987-01-01,4855216250000.0000000000000000,0.43414482310648882014
1988-01-01,5236438000000.0000000000000000,0.43552544687820231997
1989-01-01,5641579500000.0000000000000000,0.42809269992561480344
1990-01-01,5963144500000.0000000000000000,0.43006202516138926367
1991-01-01,6158129250000.0000000000000000,0.42658604477975190274
1992-01-01,6520327250000.0000000000000000,0.42661601072246795588
1993-01-01,6858558500000.0000000000000000,0.42056534182802406657
1994-01-01,7287236500000.0000000000000000,0.41630006107253414926
1995-01-01,7639749250000.0000000000000000,0.42094588379324098890
1996-01-01,8073121750000.0000000000000000,0.42294853288939932065
1997-01-01,8577552500000.0000000000000000,0.42833104198429563678
1998-01-01,9062816750000.0000000000000000,0.43773057642371506629
1999-01-01,9631171750000.0000000000000000,0.43976985458700806576
2000-01-01,10250952000000.0000000000000000,0.44745024657222080447
2001-01-01,10581929000000.0000000000000000,0.44362781114861005021
2002-01-01,10929108250000.0000000000000000,0.43131798973626233412
2003-01-01,11456449500000.0000000000000000,0.42123032969333125416
2004-01-01,12217195750000.0000000000000000,0.41637967534407394594
2005-01-01,13039197000000.000000000000,0.41041261973417534837
2006-01-01,13815583000000.000000000000,0.41202387188437867588
2007-01-01,14474227000000.000000000000,0.41575291032813013089
2008-01-01,14769861500000.000000000000,0.41584729822957378443
2009-01-01,14478066750000.000000000000,0.40473235143773598088
2010-01-01,15048970000000.000000000000,0.39711089861963974943
2011-01-01,15599731750000.000000000000,0.39856640483577546133
2012-01-01,16253970000000.000000000000,0.39940162311115376736
2013-01-01,16843195750000.000000000000,0.39621109313533923632
2014-01-01,17550687750000.000000000000,0.39987526984519452806
2015-01-01,18206023500000.000000000000,0.40568501957607601682
2016-01-01,18695105750000.000000000000,0.40691008126552052266
2017-01-01,19477336500000.000000000000,0.40910516692053864757
2018-01-01,20533057500000.000000000000,0.40756677372573470853
2019-01-01,21380976000000.000000000000,0.41014544892618559602
2020-01-01,21060474250000.000000000000,0.42259300025021991136
2021-01-01,23315081250000.000000000000,0.41646824627728886855
2022-01-01,.,.
