DATE,GDP
1947-01-01,243164000000.000
1947-04-01,245968000000.000
1947-07-01,249585000000.000
1947-10-01,259745000000.000
1948-01-01,265742000000.000
1948-04-01,272567000000.000
1948-07-01,279196000000.000
1948-10-01,280366000000.000
1949-01-01,275034000000.000
1949-04-01,271351000000.000
1949-07-01,272889000000.000
1949-10-01,270627000000.000
1950-01-01,280828000000.000
1950-04-01,290383000000.000
1950-07-01,308153000000.000
1950-10-01,319945000000.000
1951-01-01,336000000000.0
1951-04-01,344090000000.00
1951-07-01,351385000000.000
1951-10-01,356178000000.000
1952-01-01,359820000000.00
1952-04-01,361030000000.00
1952-07-01,367701000000.000
1952-10-01,380812000000.000
1953-01-01,387980000000.00
1953-04-01,391749000000.000
1953-07-01,391171000000.000
1953-10-01,385970000000.00
1954-01-01,385345000000.000
1954-04-01,386121000000.000
1954-07-01,390996000000.000
1954-10-01,399734000000.000
1955-01-01,413073000000.000
1955-04-01,421532000000.000
1955-07-01,430221000000.000
1955-10-01,437092000000.000
1956-01-01,439746000000.000
1956-04-01,446010000000.00
1956-07-01,451191000000.000
1956-10-01,460463000000.000
1957-01-01,469779000000.000
1957-04-01,472025000000.000
1957-07-01,479490000000.00
1957-10-01,474864000000.000
1958-01-01,467540000000.00
1958-04-01,471978000000.000
1958-07-01,485841000000.000
1958-10-01,499555000000.000
1959-01-01,510330000000.00
1959-04-01,522653000000.000
1959-07-01,525034000000.000
1959-10-01,528600000000.0
1960-01-01,542648000000.000
1960-04-01,541080000000.00
1960-07-01,545604000000.000
1960-10-01,540197000000.000
1961-01-01,545018000000.000
1961-04-01,555545000000.000
1961-07-01,567664000000.000
1961-10-01,580612000000.000
1962-01-01,594013000000.000
1962-04-01,600366000000.000
1962-07-01,609027000000.000
1962-10-01,612280000000.00
1963-01-01,621672000000.000
1963-04-01,629752000000.000
1963-07-01,644444000000.000
1963-10-01,653938000000.000
1964-01-01,669822000000.000
1964-04-01,678674000000.000
1964-07-01,692031000000.000
1964-10-01,697319000000.000
1965-01-01,717790000000.00
1965-04-01,730191000000.000
1965-07-01,749323000000.000
1965-10-01,771857000000.000
1966-01-01,795734000000.000
1966-04-01,804981000000.000
1966-07-01,819638000000.000
1966-10-01,833302000000.000
1967-01-01,844170000000.00
1967-04-01,848983000000.000
1967-07-01,865233000000.000
1967-10-01,881439000000.000
1968-01-01,909387000000.000
1968-04-01,934344000000.000
1968-07-01,950825000000.000
1968-10-01,968030000000.00
1969-01-01,993337000000.000
1969-04-01,1009020000000.00
1969-07-01,1029956000000.000
1969-10-01,1038147000000.000
1970-01-01,1051200000000.0
1970-04-01,1067375000000.000
1970-07-01,1086059000000.000
1970-10-01,1088608000000.000
1971-01-01,1135156000000.000
1971-04-01,1156271000000.000
1971-07-01,1177675000000.000
1971-10-01,1190297000000.000
1972-01-01,1230609000000.000
1972-04-01,1266369000000.000
1972-07-01,1290566000000.000
1972-10-01,1328904000000.000
1973-01-01,1377490000000.00
1973-04-01,1413887000000.000
1973-07-01,1433838000000.000
1973-10-01,1476289000000.000
1974-01-01,1491209000000.000
1974-04-01,1530056000000.000
1974-07-01,1560026000000.000
