DATE,PITT342PCPI_PC1,A792RC0Q052SBEA_PC1
1948-01-01,.,7.93180
1949-01-01,.,-2.83310
1950-01-01,.,8.90617
1951-01-01,.,11.14717
1952-01-01,.,5.06569
1953-01-01,.,4.21009
1954-01-01,.,-0.76000
1955-01-01,.,5.37418
1956-01-01,.,5.48260
1957-01-01,.,3.85592
1958-01-01,.,1.30354
1959-01-01,.,4.51517
1960-01-01,.,2.69320
1961-01-01,.,2.65468
1962-01-01,.,4.79666
1963-01-01,.,3.60199
1964-01-01,.,5.72416
1965-01-01,.,6.68605
1966-01-01,.,7.46764
1967-01-01,.,6.15641
1968-01-01,.,8.70279
1969-01-01,.,8.41115
1970-01-01,7.12228,6.84654
1971-01-01,5.25544,6.49081
1972-01-01,8.52299,8.65015
1973-01-01,9.92938,10.29766
1974-01-01,12.16663,8.72776
1975-01-01,10.56925,8.33476
1976-01-01,9.24502,8.67542
1977-01-01,10.53161,9.31093
1978-01-01,10.28207,11.15021
1979-01-01,11.40971,10.51547
1980-01-01,10.30470,10.28239
1981-01-01,10.89584,11.00221
1982-01-01,5.72565,6.14570
1983-01-01,2.65052,5.82106
1984-01-01,7.26012,9.49236
1985-01-01,5.51304,6.10450
1986-01-01,4.11943,4.95145
1987-01-01,4.97768,5.17239
1988-01-01,8.98724,7.14483
1989-01-01,7.66093,6.97448
1990-01-01,6.96206,5.04626
1991-01-01,4.29649,2.11425
1992-01-01,4.82331,5.19801
1993-01-01,3.17870,3.02869
1994-01-01,3.34926,3.84363
1995-01-01,4.17419,4.54530
1996-01-01,4.85650,4.92399
1997-01-01,5.78039,4.93422
1998-01-01,4.31370,6.00885
1999-01-01,5.41390,4.06444
2000-01-01,6.56016,6.93222
2001-01-01,3.33669,3.09622
2002-01-01,1.52636,0.67723
2003-01-01,2.47055,2.72999
2004-01-01,4.45896,4.79319
2005-01-01,4.26573,4.60899
2006-01-01,6.47984,6.33954
2007-01-01,5.53251,4.58554
2008-01-01,4.62949,2.82721
2009-01-01,-2.55605,-4.03268
2010-01-01,4.27647,3.37812
2011-01-01,4.95432,5.08149
2012-01-01,3.48441,4.24812
2013-01-01,0.88405,0.52271
2014-01-01,4.05262,4.68887
2015-01-01,4.17210,3.91654
2016-01-01,1.24104,1.83543
2017-01-01,5.08121,3.89409
2018-01-01,6.71966,4.39401
2019-01-01,2.57586,4.56187
2020-01-01,7.02760,6.29887
2021-01-01,.,7.22961
2022-01-01,.,.
