year,prop_income,annual_wages,n_gdp_million,n_gdp,r_gdp_million,r_gdp_indexed,r_gdp,1-alpha,alpha,k_input_indexed,employees_thousands_people,employees_indexed,avg_weekly_hours,avg_weekly_hours_indexed,total_hours_worked,total_hours_worked_fred_indexed,pitt_capital_indexed,pitt_capital_dollar_gdp
2001,6118043,38455610075.7439000,81986.778,81986778000.00,106602.136,84.6,106602136000,0.4690464855,0.5309535145,7116.629757,1026.0732078739900,99.0,,,,,3349.227949,25.96420235
2002,6357995,38730473965.9690000,84957.101,84957101000.00,108499.511,86.1,108499511000,0.4558827162,0.5441172838,7263.609291,1012.8372765096000,97.7,,,,,3396.778091,26.34011717
2003,6408299,39282345188.8993000,89082.515,89082515000.00,111215.170,88.3,111215170000,0.4409658303,0.5590341697,7374.917185,1004.5579066039600,96.9,,,,,3428.524408,26.56583464
2004,7067989,40930934148.1781000,94265.045,94265045000.00,113663.853,90.2,113663853000,0.4342111559,0.5657888441,7392.858774,1005.2201606488900,97.0,,,,,3408.850413,26.43042694
2005,7519581,42016254772.6403000,98585.304,98585304000.00,114408.071,90.8,114408071000,0.426191867,0.573808133,7395.637226,1005.8204198935200,97.0,,,,,3374.636955,26.16639865
2006,7261887,44319565554.0745000,101790.522,101790522000.00,113493.872,90.1,113493872000,0.4353997276,0.5646002724,7324.488219,1010.0460068862500,97.4,,,,,3341.873329,26.79473723
2007,6708530,46999864714.7927000,107317.379,107317379000.00,115946.474,92.0,115946474000,0.4379520368,0.5620479632,7571.350823,1019.6790079042700,98.4,34.3,100.6,1818699478,98.9,3412.454235,26.45277778
2008,7386014,48474298179.9969000,111240.092,111240092000.00,118190.286,93.8,118190286000,0.4357628379,0.5642371621,7885.547186,1022.4732927649600,98.6,33.8,99.1,1797099059,97.8,3535.673994,27.39726693
2009,6606715,47248932146.6094000,110823.229,110823229000.00,116520.586,92.5,116520586000,0.4263450233,0.5736549767,8057.829002,993.6823774492860,95.9,33.1,97.1,1710326108,93.0,3587.865715,27.79446117
2010,7825800,48610856077.8085000,116798.637,116798637000.00,121141.131,96.2,121141131000,0.4161936931,0.5838063069,8147.378671,997.5373830323630,96.2,33.4,97.9,1732522927,94.2,3625.521622,27.78062669
2011,7912241,51215710578.1369000,121777.058,121777058000.00,123875.141,98.3,123875141000,0.4205694522,0.5794305478,8311.038199,1020.6623349126900,98.5,33.9,99.4,1799223564,97.9,3670.954198,28.46968378
2012,7566792,53511191309.8538000,125989.465,125989465000.00,125989.465,100.0,125989465000,0.4247275065,0.5752724935,8400.035902,1036.6720290559700,100.0,34.1,100.0,1838226842,100.0,3700,28.67982533
2013,8653880,54514083676.2875000,129714.780,129714780000.00,127478.791,101.2,127478791000,0.4202611582,0.5797388418,8536.238888,1038.0653245222500,100.1,34.1,100.0,1840697433,100.1,3741.817312,28.98691182
2014,9582418,55949726339.5932000,134382.048,134382048000.00,129697.402,102.9,129697402000,0.4163482189,0.5836517811,8687.815107,1041.4876686260400,100.5,34.1,100.0,1846765934,100.5,3788.750321,29.37779651
2015,9864528,58286413930.8792000,138983.060,138983060000.00,133407.715,105.9,133407715000,0.4193778287,0.5806221713,8929.969891,1044.6617155600800,100.8,33.9,99.4,1841529672,100.2,3871.20815,30.00601564
2016,9658378,58045418927.0924000,139778.197,139778197000.00,133032.802,105.6,133032802000,0.4152680473,0.5847319527,8980.491717,1046.0445614216000,100.9,33.3,97.7,1811330763,98.5,3867.084618,29.97908723
2017,11475933,60314161358.2474000,146344.746,146344746000.00,136502.299,108.3,136502299000,0.4121375246,0.5878624754,9247.422424,1057.1631811523800,102.0,33.5,98.2,1841578262,100.2,3947.825228,30.60949956
2018,13196327,62907947658.0984000,154553.043,154553043000.00,140648.071,111.6,140648071000,0.4070314401,0.5929685599,9508.011309,1069.7933519568500,103.2,33.8,99.1,1880268795,102.3,4022.884389,31.1971513
2019,11954024,65427625160.7407000,160161.803,160161803000.00,143433.025,113.8,143433025000,0.4085095443,0.5914904557,9786.010581,1078.0329212692000,104.0,34.0,99.7,1905962205,103.7,4096.152769,31.75872423
2020,12178543,64249273721.1287000,153369.717,153369717000.00,136338.276,108.2,136338276000,0.4189175998,0.5810824002,9706.465257,983.9171509765610,94.9,33.8,99.1,1729332785,94.1,4068.149958,31.54459165
2021,,68253593101.6337000,,,,,,,,9706.465257,1003.8910532820300,96.8,34.0,99.7,1774879382,96.6,4068.149958,31.54459165
