DATE,A792RC0Q052SBEA
1947-01-01,1349.0000000000000000
1948-01-01,1456.0000000000000000
1949-01-01,1414.7500000000000000
1950-01-01,1540.7500000000000000
1951-01-01,1712.5000000000000000
1952-01-01,1799.2500000000000000
1953-01-01,1875.0000000000000000
1954-01-01,1860.7500000000000000
1955-01-01,1960.7500000000000000
1956-01-01,2068.2500000000000000
1957-01-01,2148.0000000000000000
1958-01-01,2176.0000000000000000
1959-01-01,2274.2500000000000000
1960-01-01,2335.5000000000000000
1961-01-01,2397.5000000000000000
1962-01-01,2512.5000000000000000
1963-01-01,2603.0000000000000000
1964-01-01,2752.0000000000000000
1965-01-01,2936.0000000000000000
1966-01-01,3155.2500000000000000
1967-01-01,3349.5000000000000000
1968-01-01,3641.0000000000000000
1969-01-01,3947.2500000000000000
1970-01-01,4217.5000000000000000
1971-01-01,4491.2500000000000000
1972-01-01,4879.7500000000000000
1973-01-01,5382.2500000000000000
1974-01-01,5852.0000000000000000
1975-01-01,6339.7500000000000000
1976-01-01,6889.7500000000000000
1977-01-01,7531.2500000000000000
1978-01-01,8371.0000000000000000
1979-01-01,9251.2500000000000000
1980-01-01,10202.5000000000000000
1981-01-01,11325.0000000000000000
1982-01-01,12021.0000000000000000
1983-01-01,12720.750000000000
1984-01-01,13928.250000000000
1985-01-01,14778.500000000000
1986-01-01,15510.250000000000
1987-01-01,16312.500000000000
1988-01-01,17478.000000000000
1989-01-01,18697.000000000000
1990-01-01,19640.500000000000
1991-01-01,20055.750000000000
1992-01-01,21098.250000000000
1993-01-01,21737.250000000000
1994-01-01,22572.750000000000
1995-01-01,23598.750000000000
1996-01-01,24760.750000000000
1997-01-01,25982.500000000000
1998-01-01,27543.750000000000
1999-01-01,28663.250000000000
2000-01-01,30650.250000000000
2001-01-01,31599.250000000000
2002-01-01,31813.250000000000
2003-01-01,32681.750000000000
2004-01-01,34248.250000000000
2005-01-01,35826.750000000000
2006-01-01,38098.000000000000
2007-01-01,39845.000000000000
2008-01-01,40971.500000000000
2009-01-01,39319.250000000000
2010-01-01,40647.500000000000
2011-01-01,42713.000000000000
2012-01-01,44527.500000000000
2013-01-01,44760.250000000000
2014-01-01,46859.000000000000
2015-01-01,48694.250000000000
2016-01-01,49588.000000000000
2017-01-01,51519.000000000000
2018-01-01,53782.750000000000
2019-01-01,56236.250000000000
2020-01-01,59778.500000000000
2021-01-01,64100.250000000000
2022-01-01,.
