"","variable","time","fcst_date","lower","median","upper"
"1","baa",236,2021-01-01,-118.778037086042,-41.3346256974376,43.3584082866918
"2","baa",237,2021-02-01,-92.8678425666076,-12.4016001157275,73.5651868412481
"3","baa",238,2021-03-01,-80.1308318265746,8.0787407202553,89.5398658209207
"4","baa",239,2021-04-01,-70.063792231066,17.7383959474802,101.546089932975
"5","baa",240,2021-05-01,-66.8100378258691,16.421709133744,104.878691615629
"6","baa",241,2021-06-01,-91.2310192633071,-5.79201484927095,74.9511654855151
"7","baa",242,2021-07-01,-110.247104560771,-18.2590901577963,67.6988758525807
"8","baa",243,2021-08-01,-103.263807199844,-17.2256813692142,72.6059815702487
"9","baa",244,2021-09-01,-86.9299865009126,-0.523381493301143,86.110731097714
"10","baa",245,2021-10-01,-75.6985010485201,10.0356647709936,94.8443672202179
"11","baa",246,2021-11-01,-79.4503404467103,4.36965453391675,95.5599399222824
"12","baa",247,2021-12-01,-94.2418218243139,-4.52008203498188,77.3318389716051
"13","baa",248,2022-01-01,-106.23355781152,-17.4675110686665,68.1725559335257
"14","baa",249,2022-02-01,-96.4474637431381,-15.1077174473767,81.3797532679793
"15","baa",250,2022-03-01,-85.8560535874192,3.58300791763379,86.7416803619349
"16","baa",251,2022-04-01,-73.6880969477323,12.9669046069792,99.5080791150769
"17","baa",252,2022-05-01,-79.7198487405409,9.24345813676868,94.5430849224162
"18","baa",253,2022-06-01,-91.1118890684709,-5.73072240392703,87.3455370687968
"19","baa",254,2022-07-01,-102.021733090936,-13.8939961255817,70.933346150596
"20","baa",255,2022-08-01,-103.778428789087,-14.9426706716529,72.261291636675
"21","baa",256,2022-09-01,-87.4726916172258,-3.38811274325545,90.8067790072268
"22","baa",257,2022-10-01,-75.4708277298883,8.94489679494544,96.305508439192
"23","baa",258,2022-11-01,-83.7331339072548,7.7025123865599,94.6160380647823
"24","baa",259,2022-12-01,-87.6166734559603,-3.12216403246041,83.6883165180388
"25","fedfunds",236,2021-01-01,-192.008396421818,201.834687561333,602.688982209563
"26","fedfunds",237,2021-02-01,-170.488199945222,360.111673582992,847.282551245678
"27","fedfunds",238,2021-03-01,-547.266031335677,23.4930531793966,522.668768005542
"28","fedfunds",239,2021-04-01,-727.355195610221,-172.522358180377,352.269525525067
"29","fedfunds",240,2021-05-01,-669.777034654557,-93.1934178846349,439.245684943304
"30","fedfunds",241,2021-06-01,-566.490328867208,-19.6865809720584,567.849696344232
"31","fedfunds",242,2021-07-01,-483.04889664229,82.7547955064241,681.930733141855
"32","fedfunds",243,2021-08-01,-467.09949653554,108.498602828938,653.632832172672
"33","fedfunds",244,2021-09-01,-546.398912195437,28.9777851838091,599.456168838492
"34","fedfunds",245,2021-10-01,-664.807286989496,-70.3561808990778,475.053230692462
"35","fedfunds",246,2021-11-01,-679.843382478843,-80.4776855224906,469.55393029985
"36","fedfunds",247,2021-12-01,-523.609593442395,0.334005583559176,571.434282502502
"37","fedfunds",248,2022-01-01,-468.544203788446,96.996955400741,653.109569304741
"38","fedfunds",249,2022-02-01,-476.206906162385,59.0471463200323,657.542685156116
"39","fedfunds",250,2022-03-01,-587.629744605079,-13.7459867815683,594.890622123392
"40","fedfunds",251,2022-04-01,-676.793694678509,-93.3004543519056,515.667541105466
"41","fedfunds",252,2022-05-01,-686.810824284455,-95.0814438437691,479.514048183226
"42","fedfunds",253,2022-06-01,-589.306052939106,-14.8143318544861,539.673447031072
"43","fedfunds",254,2022-07-01,-492.275281960936,61.6503582695741,645.149633321421
"44","fedfunds",255,2022-08-01,-463.219916152036,88.4359282059404,627.063999056591
"45","fedfunds",256,2022-09-01,-545.150080804565,22.9866801358944,601.558853111176
"46","fedfunds",257,2022-10-01,-627.697734651169,-63.4921467905501,493.598958984541
"47","fedfunds",258,2022-11-01,-673.816581891946,-84.1647053503213,515.926380358589
"48","fedfunds",259,2022-12-01,-579.969159183276,-26.5647454320799,540.275262767095
"49","fpi",238,2020-12-01,18.1319690042001,18.1319690042002,18.1319690042003
"50","fpi",241,2021-03-01,-5.1105960755616,8.93026566319372,23.1320046853575
"51","fpi",244,2021-06-01,-8.69556606002146,10.2481100398558,29.3601858085508
"52","fpi",247,2021-09-01,-16.8912460741036,2.62888564003875,24.6641773426431
"53","fpi",250,2021-12-01,-12.1415863728073,10.130974562422,30.9891842116467
"54","fpi",253,2022-03-01,-18.7953276751751,2.29662598564018,21.8624565005424
"55","fpi",256,2022-06-01,-12.4707117208228,7.90825598858215,29.061201448061
"56","fpi",259,2022-09-01,-20.5680522080065,1.06391101602211,22.4799894446041
"57","fpi",262,2022-12-01,-12.985905513941,7.67581228612344,30.1171250319997
"58","gs10",236,2021-01-01,-107.663749505786,78.1971419809966,255.11024987765
"59","gs10",237,2021-02-01,-173.378686628306,33.7314127420999,222.142511656786
"60","gs10",238,2021-03-01,-211.529547001699,-11.6544030479271,184.951730926947
"61","gs10",239,2021-04-01,-215.707720465831,-14.8024916199745,186.525244670878
"62","gs10",240,2021-05-01,-164.809122605773,40.4190557126051,252.048683622483
"63","gs10",241,2021-06-01,-192.429308679392,7.06389502785551,211.099751021009
"64","gs10",242,2021-07-01,-228.212215781385,-11.8480004038643,189.453564252014
"65","gs10",243,2021-08-01,-214.04873389976,-23.257595310971,180.664818251869
"66","gs10",244,2021-09-01,-230.160661877701,-22.8041522916527,167.963261355959
"67","gs10",245,2021-10-01,-203.367108038257,-11.6991033946451,197.327707256973
"68","gs10",246,2021-11-01,-194.58586678603,13.4302033172831,212.033250847972
"69","gs10",247,2021-12-01,-192.659978618882,9.20313388790082,216.506894029965
"70","gs10",248,2022-01-01,-220.569559573958,-9.04956889377433,184.937262960574
"71","gs10",249,2022-02-01,-222.943603539364,-28.7352763086101,169.015235732254
"72","gs10",250,2022-03-01,-231.983493092218,-26.9536630968394,188.888269900816
"73","gs10",251,2022-04-01,-212.693397601859,-14.7193109718786,188.999094137389
"74","gs10",252,2022-05-01,-194.994901139518,-0.593373598116164,202.842177017337
"75","gs10",253,2022-06-01,-200.174927362649,4.30708209142122,220.296728760075
"76","gs10",254,2022-07-01,-210.603207398765,-6.2625580593101,195.535342833512
"77","gs10",255,2022-08-01,-225.871043651379,-19.3476043684124,174.056826496778
"78","gs10",256,2022-09-01,-233.538869354666,-21.7324037489211,195.709041605131
"79","gs10",257,2022-10-01,-214.138512110046,-7.23798203114122,189.404847438122
"80","gs10",258,2022-11-01,-208.096553447091,0.548968179212763,203.356674957829
"81","gs10",259,2022-12-01,-197.663781486183,1.02024711060091,197.853326578126
"82","paclaims",236,2021-01-01,-748.319081580626,-284.256401042361,166.838238568636
"83","paclaims",237,2021-02-01,-829.030519531614,-273.058770166379,266.920191103823
"84","paclaims",238,2021-03-01,-679.412851650079,-103.660400217249,521.440287417915
"85","paclaims",239,2021-04-01,-589.585039195784,21.7108011903276,577.050362972363
"86","paclaims",240,2021-05-01,-239.418621773078,342.68475024464,922.488099238172
"87","paclaims",241,2021-06-01,-226.535259808615,402.952362267274,1010.75168724338
"88","paclaims",242,2021-07-01,-581.910156249019,33.8361005691998,647.59076540529
"89","paclaims",243,2021-08-01,-910.305925024022,-321.219664583099,369.166062131057
"90","paclaims",244,2021-09-01,-951.333611164048,-351.393896261889,302.586606420388
"91","paclaims",245,2021-10-01,-734.32086876275,-79.8643917438697,485.671025214675
"92","paclaims",246,2021-11-01,-416.375243735191,197.321769969385,826.649288479699
"93","paclaims",247,2021-12-01,-416.110040471898,251.606155608292,877.265198695413
"94","paclaims",248,2022-01-01,-591.958757450097,75.3206306240577,733.902884577061
"95","paclaims",249,2022-02-01,-833.24287529048,-182.267786191919,414.872141003335
"96","paclaims",250,2022-03-01,-955.994169483894,-220.666111792856,408.893837212078
"97","paclaims",251,2022-04-01,-646.888538963877,-49.5655339138513,592.149998454381
"98","paclaims",252,2022-05-01,-394.761883849871,207.090636485078,834.904251582974
"99","paclaims",253,2022-06-01,-390.14842418115,261.813097480783,856.193800292028
"100","paclaims",254,2022-07-01,-598.234163166215,74.9378409222784,692.028441685616
"101","paclaims",255,2022-08-01,-855.959514597408,-197.122219132394,460.649035005979
"102","paclaims",256,2022-09-01,-886.717946660282,-256.383628227857,344.035020178024
"103","paclaims",257,2022-10-01,-726.833025035056,-73.2263601649216,549.822660616179
"104","paclaims",258,2022-11-01,-526.682793862579,149.221849356367,798.843139446696
"105","paclaims",259,2022-12-01,-454.842273078576,202.280128264072,885.04655797252
"106","patax",238,2020-12-01,-69.821732633728,-69.8217326337272,-69.8217326337261
"107","patax",241,2021-03-01,-122.791909961528,-14.6760393856539,100.945110634582
"108","patax",244,2021-06-01,-139.39391963745,-19.6796432458371,94.0921253830981
"109","patax",247,2021-09-01,-48.1042638570514,70.7978644122096,200.310393120011
"110","patax",250,2021-12-01,-179.08943535919,-49.1200249044536,78.6736272395445
"111","patax",253,2022-03-01,-101.3261532249,19.0991123032902,154.197773399983
"112","patax",256,2022-06-01,-151.597193946457,-17.1121860433514,108.085411494493
"113","patax",259,2022-09-01,-85.6257361129328,45.3678712787175,182.780199909759
"114","patax",262,2022-12-01,-174.146602855942,-33.4448492289469,106.589627871616
