"","DATE","pghngdp"
"1","2001-01-01",82875190246.9748
"2","2001-04-01",81992656948.4225
"3","2001-07-01",81792737162.2175
"4","2001-10-01",81286517481.9163
"5","2002-01-01",84591794572.5167
"6","2002-04-01",84863698820.1939
"7","2002-07-01",85185113197.5145
"8","2002-10-01",85187809499.8703
"9","2003-01-01",88014708079.8046
"10","2003-04-01",88623971414.9087
"11","2003-07-01",89201588441.0124
"12","2003-10-01",90489816518.8898
"13","2004-01-01",91779333603.2248
"14","2004-04-01",92988391300.6261
"15","2004-07-01",94588472771.8281
"16","2004-10-01",97703944008.1665
"17","2005-01-01",94438553607.0188
"18","2005-04-01",98260428231.7979
"19","2005-07-01",101751032172.617
"20","2005-10-01",99891171474.6376
"21","2006-01-01",99900837115.3301
"22","2006-04-01",101579506777.244
"23","2006-07-01",101812172076.904
"24","2006-10-01",103869597868.216
"25","2007-01-01",107023512684.151
"26","2007-04-01",106624315641.487
"27","2007-07-01",107682284192.588
"28","2007-10-01",107939439531.247
"29","2008-01-01",110870003619.757
"30","2008-04-01",111635796885.316
"31","2008-07-01",110984504464.953
"32","2008-10-01",111470101746.626
"33","2009-01-01",110860113010.065
"34","2009-04-01",109728738423.973
"35","2009-07-01",109053533697.992
"36","2009-10-01",113650555060.626
"37","2010-01-01",110682108079.021
"38","2010-04-01",116547006696.712
"39","2010-07-01",117950134544.689
"40","2010-10-01",122015290893.027
"41","2011-01-01",117741343755.101
"42","2011-04-01",121864942158.839
"43","2011-07-01",125954378518.837
"44","2011-10-01",121547512248.004
"45","2012-01-01",126281737425.681
"46","2012-04-01",124659894838.091
"47","2012-07-01",125687283175.744
"48","2012-10-01",127328952227.2
"49","2013-01-01",128587653529.123
"50","2013-04-01",130383465320.19
"51","2013-07-01",129450383899.545
"52","2013-10-01",130437565623.739
"53","2014-01-01",133592934500.243
"54","2014-04-01",133329431663.791
"55","2014-07-01",134215616735.071
"56","2014-10-01",136390233527.369
"57","2015-01-01",140482302318.782
"58","2015-04-01",136393379616.92
"59","2015-07-01",136981748210.421
"60","2015-10-01",142074847917.992
"61","2016-01-01",133559450983.565
"62","2016-04-01",138944584160.294
"63","2016-07-01",144600414865.069
"64","2016-10-01",142008401711.815
"65","2017-01-01",144839459774.07
"66","2017-04-01",146146997513.092
"67","2017-07-01",145427112116.808
"68","2017-10-01",148965449571.469
"69","2018-01-01",153474608839.107
"70","2018-04-01",155174820178.704
"71","2018-07-01",154522955938.28
"72","2018-10-01",155039847889.812
"73","2019-01-01",158231980551.025
"74","2019-04-01",161324035803.009
"75","2019-07-01",160848765279.163
"76","2019-10-01",160242499869.346
"77","2020-01-01",160898215396.39
"78","2020-04-01",143797309419.531
"79","2020-07-01",151247640910.401
"80","2020-10-01",157535701918.568
