DATE,gs10,pcepi,pcepilfe,fedfunds,baa,paclaims,pghunemp,pghcivlabforce,pghavghourearn,pghpermits,pghempmanuf
2001-01-01,5.16,79.265,81.592,5.98,7.93,32670,5.2,143800,,419.56938717095700,128.91453130975900
2001-02-01,5.10,79.388,81.736,5.49,7.87,22619,5.1,143701,,456.42310222822400,128.32203885965300
2001-03-01,4.89,79.395,81.821,5.31,7.84,21618,5.0,143924,,488.45587128891700,127.33648428564800
2001-04-01,5.14,79.534,81.951,4.80,8.07,22037,4.3,143569,,724.07087605684200,126.30186671037200
2001-05-01,5.39,79.743,81.970,4.21,8.07,20420,4.5,143318,,463.91102456862000,124.80836151238100
2001-06-01,5.28,79.885,82.154,3.97,7.97,23478,4.9,143357,,509.92185858911600,124.05538470082400
2001-07-01,5.24,79.858,82.366,3.77,7.97,23281,4.7,143654,,530.65236070045800,123.31155758435700
2001-08-01,4.97,79.848,82.406,3.65,7.85,18508,4.8,143284,,502.31495451204100,122.56284264210700
2001-09-01,4.73,79.577,81.939,3.07,8.03,19097,4.4,143989,,469.68119998813400,121.46841638838500
2001-10-01,4.57,79.857,82.516,2.49,7.91,23151,4.6,144086,,495.95021016740900,120.38358429949100
2001-11-01,4.65,79.803,82.683,2.09,7.81,24697,5.0,144240,,416.60560289377400,119.49764885584300
2001-12-01,5.09,79.721,82.702,1.82,8.05,35818,5.0,144305,,501.24800518937300,118.49055446123100
2002-01-01,5.04,79.793,82.750,1.73,7.87,36378,6.4,143883,,681.49495024096900,117.46071897213400
2002-02-01,4.91,79.926,82.907,1.74,7.89,24160,6.2,144653,,498.87842821359000,116.79682149719500
2002-03-01,5.28,80.144,83.006,1.73,8.11,22142,6.0,144481,,476.82528872657000,116.18265407229500
2002-04-01,5.21,80.479,83.238,1.75,8.03,21007,5.4,144725,,574.16907823482800,115.71870393275100
2002-05-01,5.16,80.531,83.331,1.75,8.09,19952,5.4,144938,,586.33336892725400,115.62827786349400
2002-06-01,4.93,80.632,83.463,1.75,7.95,21194,5.7,144808,,584.22480933651800,115.25964492802100
2002-07-01,4.65,80.810,83.632,1.73,7.90,21126,5.7,144803,,611.09543095557500,114.49376506570300
2002-08-01,4.26,80.969,83.797,1.74,7.58,17799,5.4,145009,,591.89385890952100,114.51114714786200
2002-09-01,3.87,81.115,83.934,1.75,7.40,17680,5.0,145552,,675.05237308568300,114.30190875929900
2002-10-01,3.94,81.262,84.005,1.75,7.73,21279,5.1,145314,,707.23363061312000,114.28977729816200
2002-11-01,4.05,81.343,84.087,1.34,7.62,24103,5.5,145041,,472.80524058836700,113.82039479554500
2002-12-01,4.03,81.421,84.165,1.24,7.45,37519,5.7,145066,,541.77200158764500,113.19097259921600
2003-01-01,4.05,81.664,84.223,1.24,7.35,36393,6.7,145937,,520.46182105189000,113.47257061600800
2003-02-01,3.90,82.009,84.339,1.26,7.06,26729,6.7,146100,,538.02043090361100,111.31413901564100
2003-03-01,3.81,82.219,84.474,1.25,6.95,23718,6.3,146022,,486.46500445712200,110.77954107263000
2003-04-01,3.96,82.080,84.568,1.26,6.85,24000,5.6,146474,,500.75524274857800,110.73230169322300
2003-05-01,3.57,81.986,84.690,1.26,6.38,20033,5.8,146500,,520.92193946900000,109.69666916566400
2003-06-01,3.33,82.074,84.738,1.22,6.19,24364,6.3,147056,,457.22180286047200,108.77728469463700
2003-07-01,3.98,82.315,84.949,1.01,6.62,22663,6.1,146485,,494.83373761425800,107.85212765024100
2003-08-01,4.45,82.593,85.045,1.03,7.01,17901,5.7,146445,,587.37933493604600,106.86107044244300
2003-09-01,4.27,82.852,85.164,1.01,6.79,18085,5.4,146530,,526.39507540515200,106.14533492422200
2003-10-01,4.29,82.862,85.320,1.01,6.73,18769,5.2,146716,,603.85766019585400,105.45789413207000
2003-11-01,4.30,82.967,85.437,1.00,6.66,21792,5.4,147000,,523.78314397996900,104.79518162821100
2003-12-01,4.27,83.150,85.544,0.98,6.60,34957,5.2,146729,,519.68607838185200,104.27873516725700
2004-01-01,4.15,83.471,85.763,1.00,6.44,33293,6.4,146842,,546.66569869596600,103.76713117259300
2004-02-01,4.08,83.649,85.902,1.01,6.27,22340,6.3,146709,,616.57497986383900,103.29025675218500
