DATE,pghaww,pghmanuf,pghawwp,pghhouse,pghqwage,patax,fpi
2001-03-01,671.57416264601400,-2.4,663.36197934934900,124.81,9718079480.5444100,6240,2001.963
2001-06-01,669.77742945951200,-4.8,662.13620839776400,126.18,9614592191.8395600,6559,1984.593
2001-09-01,672.41165486688900,-5.9,661.68163603417000,127.58,9591149272.8395100,5102,1975.026
2001-12-01,669.75079636268200,-5.9,660.35723739588600,129.14,9531789130.5204100,4751,1930.920
2002-03-01,677.44526972886100,-3.0,667.19733600131600,131.01,9640983926.8910600,6063,1912.366
2002-06-01,681.44851759751400,0.3,671.72840664993000,131.74,9671973037.5342000,6219,1912.113
2002-09-01,685.34498603363400,3.0,673.87658090325300,133.92,9708604851.0721400,5342,1907.764
2002-12-01,685.92649709159100,3.8,675.40654726962200,135.48,9708912150.4716300,5046,1909.528
2003-03-01,688.85376936411900,3.0,678.42748263293800,136.74,9702869040.0443800,6480,1934.140
2003-06-01,696.49212988787300,0.6,685.84735142196900,138.08,9770035113.5380900,6319,1978.873
2003-09-01,702.12297517221700,0.3,693.96922586672500,139.46,9833712452.0404500,5537,2043.866
2003-12-01,711.65781756770100,1.4,703.94868076022400,142.04,9975728583.2763600,5332,2094.966
2004-03-01,708.69754255327000,1.3,697.83696262004400,143.66,9962903644.7641400,7018,2108.027
2004-06-01,717.42510622222000,2.5,707.14634658361400,144.58,10094150243.1786000,7237,2188.618
2004-09-01,730.32984742306500,2.8,720.17136524565400,146.54,10267843567.1057000,6124,2254.106
2004-12-01,753.30573897328400,3.3,744.68653892953300,148.69,10606036693.1297000,5743,2317.993
2005-03-01,716.36428692959700,4.5,707.91457227348300,149.61,10062236648.7568000,7616,2383.590
2005-06-01,744.54837574931300,4.5,736.71157437266700,151.78,10469449650.7309000,7779,2447.639
2005-09-01,768.97730842470500,3.4,761.01702618854500,153.74,10841366432.1522000,6513,2518.722
2005-12-01,755.35632703831500,3.2,749.07824400423400,153.51,10643202041.0004000,6039,2558.875
2006-03-01,770.68933263844000,2.1,763.33888739857500,154.51,10874198627.4409000,8052,2631.526
2006-06-01,783.44193346926700,1.5,778.16752193648400,154.96,11056921694.2400000,8446,2633.739
2006-09-01,783.57355783565300,2.0,777.72500393495900,155.37,11082247294.6581000,6742,2630.666
2006-12-01,797.42274901916300,1.0,794.19460284687400,157.47,11306197937.7355000,6370,2631.930
2007-03-01,824.32958567084300,1.6,822.96436130161100,158.11,11717790356.7623000,8759,2642.923
2007-06-01,819.82939883405500,3.3,814.87685279445300,158.93,11674083070.9551000,8967,2656.992
2007-09-01,826.78866739493700,3.3,823.33949816416900,159.04,11789917931.6781000,7248,2641.047
2007-12-01,827.98787365417600,3.4,823.96459524747400,160.11,11818073355.3972000,6722,2615.279
2008-03-01,845.28087433345500,1.4,842.26140718296400,162.70,12078255803.3389000,9029,2580.374
2008-06-01,849.64078804712000,-2.1,847.14752573161400,161.39,12161681857.7442000,9125,2562.847
2008-09-01,845.48255546235500,-5.8,842.22084232902800,160.48,12090729605.5651000,7085,2514.067
2008-12-01,851.72107279240100,-11.5,848.68583398479700,160.10,12143630913.3487000,6478,2370.130
2009-03-01,842.66084899164900,-16.4,837.47651358494600,163.54,11816163720.3190000,8534,2165.874
2009-06-01,840.65890756810000,-16.6,834.86291246700400,163.13,11695574745.8422000,7904,2059.651
2009-09-01,841.02229781539000,-11.4,834.91384172672700,161.08,11623607206.1176000,6644,2045.422
2009-12-01,875.13711755524900,-4.3,869.07048130503000,161.28,12113586474.3306000,6315,2050.795
2010-03-01,837.92501480366900,4.1,830.85341998250000,160.89,11516299021.3019000,8517,2039.398
2010-06-01,872.56349332691200,9.5,866.65992913331200,161.30,12126532485.2573000,9039,2112.087
2010-09-01,879.43241797689900,8.0,875.96586457426200,164.38,12272525727.9130000,7006,2123.598
2010-12-01,904.91070031912200,6.5,899.51366848290200,164.43,12695498843.3363000,6751,2171.138
2011-03-01,883.16754360666900,5.4,879.96287397711300,162.85,12379604518.1027000,9503,2173.885
2011-06-01,908.88397733935800,2.4,901.56333032437600,163.61,12813169447.8180000,9085,2236.305
2011-09-01,936.77304791882100,2.0,932.04705566268900,164.52,13243142499.1195000,7213,2334.873
2011-12-01,897.69486896922300,2.0,893.11875849645300,165.68,12779794113.0967000,6856,2400.138
2012-03-01,944.14043299362400,1.7,940.86077524999600,164.72,13408831658.1165000,9892,2487.473
2012-06-01,927.61499095976500,1.7,926.12547857146700,165.73,13236621371.2113000,9016,2545.458
2012-09-01,936.17602156371000,0.6,932.81623267341500,167.37,13345711391.2565000,7337,2559.690
2012-12-01,942.98298109549600,0.7,941.01165353065900,168.15,13520026889.2695000,7253,2609.548
2013-03-01,951.79057595877000,1.3,947.73122685453900,168.50,13510100394.3334000,10045,2655.966
2013-06-01,958.94369579508000,1.8,957.26406158133800,170.95,13698777898.9054000,9284,2687.519
2013-09-01,952.17001257182800,2.3,948.83594893857200,171.79,13600743419.5209000,7486,2743.781
2013-12-01,956.37618090274600,2.3,953.62455565494900,171.11,13704461963.5278000,7316,2798.665
