DATE,ur,manemp,hrs,wage,manwage,pce,pcepi,pcepilfe,indpro,fedfunds,gs10,baa,paur,paclf,paemp,pamanemp,papermits,paclaims,pamanwage
2005-01-01,5.3,14257,,,,8497.7,85.585,87.625,95.9285,2.28,4.22,6.02,5.2,6203052,5673.7,686.7,2833.4258480947000,34048,
2005-02-01,5.4,14273,,,,8559.1,85.823,87.770,96.6287,2.5,4.17,5.82,5.2,6194762,5683.1,685.4,3642.2601245608100,20450,
2005-03-01,5.2,14269,,,,8598.4,86.080,87.987,96.4907,2.63,4.50,6.06,5.1,6208541,5674.7,684.0,3157.4973819786000,21304,
2005-04-01,5.2,14250,,,,8678.4,86.321,88.089,96.6809,2.79,4.34,6.05,5.1,6205286,5698.8,682.5,3326.3323281246500,18693,
2005-05-01,5.1,14256,,,,8671.6,86.370,88.269,96.7925,3,4.14,6.01,5.0,6257401,5698.9,682.1,3492.6028177761800,16935,
2005-06-01,5.0,14227,,,,8753.4,86.423,88.330,97.1900,3.04,4.00,5.86,4.9,6299237,5701.0,681.0,3928.9469210358200,21274,
2005-07-01,5.0,14226,,,,8853.8,86.790,88.460,96.8981,3.26,4.18,5.95,4.9,6364578,5714.9,680.4,4084.7242596390000,19034,
2005-08-01,4.9,14203,,,,8850.1,87.140,88.532,97.2223,3.5,4.26,5.96,4.9,6320166,5713.4,678.8,3877.0483991732700,16024,
2005-09-01,5.0,14175,,,,8900.4,87.981,88.728,95.3463,3.62,4.20,6.03,4.9,6254922,5719.8,677.0,4072.9742175552300,15400,
2005-10-01,5.0,14192,,,,8938.5,88.121,88.982,96.4981,3.78,4.46,6.30,4.9,6260972,5714.4,675.5,3734.2408165435000,17664,
2005-11-01,5.0,14187,,,,8946.2,87.938,89.210,97.5646,4,4.54,6.39,4.9,6271599,5720.4,674.8,4769.6871296203300,20454,
2005-12-01,4.9,14193,,,,8981.1,87.938,89.302,98.0222,4.16,4.47,6.32,4.8,6239194,5720.1,672.9,3403.1769547407200,32024,
2006-01-01,4.7,14210,,,,9071.6,88.364,89.503,98.2044,4.29,4.42,6.24,4.8,6221786,5728.1,673.4,4170.2154088411300,29667,
2006-02-01,4.8,14209,,,,9096.0,88.417,89.647,98.2404,4.49,4.57,6.27,4.7,6216713,5740.6,673.4,3560.4045385431200,21949,
