DATE,pghunemp,pghcivlabforce,pghavghourearn,pghpermits,pghempmanuf
1990-01-01,6.1,125833,,483.88608499783400,130.83572863232900
1990-02-01,5.8,125710,,413.44648099184300,131.41229415757700
1990-03-01,5.3,125801,,424.05488130049300,131.14071397687600
1990-04-01,5.0,125649,,376.51026392401900,131.04570810038100
1990-05-01,5.0,125893,,482.73910824436100,130.66128269861600
1990-06-01,4.9,125573,,336.55727820790300,130.29024646559000
1990-07-01,5.0,125732,,342.18158134624800,131.43509532791800
1990-08-01,4.6,125990,,342.69375405003500,131.30999460478900
1990-09-01,4.8,125892,,293.32447995457100,131.53414635232100
1990-10-01,5.0,125995,,331.72702700447900,129.73767558825100
1990-11-01,5.7,126070,,265.21385503512900,129.75758298032200
1990-12-01,5.1,126142,,258.47377864013700,129.09011302452200
1991-01-01,6.9,125955,,250.17677776464800,128.64529224333800
1991-02-01,7.4,126020,,279.60794517877400,127.86865694665900
1991-03-01,7.0,126238,,322.34232150329000,126.71574461899400
1991-04-01,6.0,126548,,341.66052422970600,127.41115355816000
1991-05-01,6.1,126176,,355.16852689333200,126.21205422087300
1991-06-01,6.2,126331,,428.64776031876100,126.14564411386500
1991-07-01,6.0,126154,,402.78204194095000,126.17275649034200
1991-08-01,5.7,126150,,577.38997528563500,126.04400434452600
1991-09-01,5.6,126650,,433.42110905134900,125.51667540327200
1991-10-01,5.6,126642,,468.30427829733400,125.07339614263900
1991-11-01,6.1,126701,,337.14931790505000,125.34136119050500
1991-12-01,6.2,126664,,751.52334451935000,124.83661718759900
1992-01-01,7.8,127261,,434.14419698075400,123.94242068830400
1992-02-01,8.0,127207,,451.05675400359400,123.46119105487300
1992-03-01,7.5,127604,,457.51269612135500,122.93881600626300
1992-04-01,6.5,127841,,383.01841594704700,123.30048550746300
1992-05-01,6.7,128119,,413.46213473844500,123.51381480871800
1992-06-01,7.2,128459,,375.40887119959800,122.61932420002500
1992-07-01,7.1,128563,,409.64928972550300,121.94597748832200
1992-08-01,6.7,128613,,374.31358088774700,121.32124974856900
1992-09-01,6.4,128501,,523.42159385119400,122.03075257566800
1992-10-01,6.3,128026,,354.24943388277400,121.55692612952700
1992-11-01,6.5,128441,,391.61738386397100,120.96609383394000
1992-12-01,6.6,128554,,406.68278464470400,120.61903083012700
1993-01-01,7.8,128400,,536.24763114479700,122.36002562972000
1993-02-01,7.8,128458,,561.91671200486700,122.26213568682000
1993-03-01,7.5,128598,,459.58630653652200,121.83844832655300
1993-04-01,6.8,128584,,525.20937910112700,121.68785845340600
1993-05-01,6.9,129264,,444.89715759340300,121.41394176894800
1993-06-01,7.1,129411,,487.68082943985500,121.26784218616700
1993-07-01,7.0,129397,,524.19109409255900,120.90305901302800
1993-08-01,6.6,129619,,493.29678743705100,121.01071885322100
1993-09-01,6.4,129268,,532.37387761475100,120.94402099489500
1993-10-01,6.5,129573,,548.80122846122900,121.67365789589600
1993-11-01,6.3,129711,,579.49763215397200,121.77792976492900
1993-12-01,6.1,129941,,610.95672006099900,121.87251928248200
1994-01-01,7.9,130596,,490.18761693134600,121.74625006243800
1994-02-01,7.7,130669,,491.63697393283100,121.78624209485800
1994-03-01,7.5,130400,,569.33329159109900,122.03289688742200
1994-04-01,6.8,130621,,557.50523690352500,119.17668085259700
1994-05-01,6.6,130779,,643.89293790760700,119.14948700513400
1994-06-01,6.8,130561,,625.41093823303700,120.30242919461300
1994-07-01,6.8,130652,,588.98150406036900,122.22571177720400
1994-08-01,6.5,131275,,618.53449556045100,122.48479943527800
1994-09-01,6.0,131421,,570.58314566391200,122.47022306584200
1994-10-01,5.7,131744,,477.79619520726600,122.29591369475500
1994-11-01,5.7,131891,,506.40003461421400,122.54741590828100
1994-12-01,5.5,131951,,505.14106138501900,122.61838375774200
1995-01-01,7.0,132038,,585.26499484185600,122.99652166258600
1995-02-01,6.8,132115,,397.55691784283800,123.13708626725400
1995-03-01,6.2,132108,,470.93490525094000,123.49557251011800
1995-04-01,6.1,132590,,463.94712783577800,122.87355998716400
1995-05-01,6.1,131851,,487.12107803289800,123.01786436584300
1995-06-01,6.2,131949,,475.19049731663500,122.92023118119300
1995-07-01,6.2,132343,,421.41294117442400,123.20643279334900
1995-08-01,5.9,132336,,490.94822183653000,122.81450543078100
1995-09-01,5.5,132611,,472.81101197132900,122.87704238941000
1995-10-01,5.1,132716,,544.63413887707700,122.85167081495600
1995-11-01,5.7,132614,,442.17084673509600,122.88558348536600
1995-12-01,5.3,132511,,434.19550666634500,122.30944460614800
1996-01-01,6.5,132616,,429.36690569459100,123.23505324210300
1996-02-01,6.4,132952,,443.51949382747200,123.39014179558100
1996-03-01,6.0,133180,,442.87695183144800,123.59435092854400
1996-04-01,5.3,133409,,502.95037205328700,123.75919501506600
1996-05-01,5.4,133667,,494.52741265447000,123.49733079879800
1996-06-01,5.2,133697,,472.60557808659400,123.47429719490000
1996-07-01,5.4,134284,,485.63209596093500,124.30954381473700
1996-08-01,4.8,134054,,476.69387074014900,123.80191486765900
1996-09-01,4.5,134515,,543.03750464418800,124.07484212925000
1996-10-01,4.4,134921,,571.94369232202300,124.08270248761000
1996-11-01,4.7,135007,,514.28058747401700,124.21897775922800
1996-12-01,4.5,135113,,485.75764860096700,124.19932989600000
1997-01-01,5.9,135456,,447.14927943450200,124.32262266131000
1997-02-01,5.9,135400,,467.88178889923000,124.25515136381500
1997-03-01,5.6,135891,,476.74819387527900,124.07963159684600
1997-04-01,4.9,136016,,478.10608409959000,125.70070632284300
1997-05-01,5.0,136119,,466.21138775226000,126.38524411887100
1997-06-01,5.3,136211,,491.05820237971400,126.82556317321200
1997-07-01,5.1,136477,,476.50660824457800,127.18686953391000
1997-08-01,4.8,136618,,725.43750393789600,127.70646709275600
1997-09-01,4.6,136675,,469.65107157299600,127.91225988793500
1997-10-01,4.1,136633,,476.49939239908000,128.51676502128600
1997-11-01,4.2,136961,,397.76511013488400,128.78675460104700
1997-12-01,4.2,137155,,484.33643649618300,129.09670580295000
