DATE,gs10,pcepi,pcepilfe,fedfunds,baa,paclaims
2001-01-01,5.16,79.265,81.592,5.98,7.93,32670
2001-02-01,5.10,79.388,81.736,5.49,7.87,22619
2001-03-01,4.89,79.395,81.821,5.31,7.84,21618
2001-04-01,5.14,79.534,81.951,4.80,8.07,22037
2001-05-01,5.39,79.743,81.970,4.21,8.07,20420
2001-06-01,5.28,79.885,82.154,3.97,7.97,23478
2001-07-01,5.24,79.858,82.366,3.77,7.97,23281
2001-08-01,4.97,79.848,82.406,3.65,7.85,18508
2001-09-01,4.73,79.577,81.939,3.07,8.03,19097
2001-10-01,4.57,79.857,82.516,2.49,7.91,23151
2001-11-01,4.65,79.803,82.683,2.09,7.81,24697
2001-12-01,5.09,79.721,82.702,1.82,8.05,35818
2002-01-01,5.04,79.793,82.750,1.73,7.87,36378
2002-02-01,4.91,79.926,82.907,1.74,7.89,24160
2002-03-01,5.28,80.144,83.006,1.73,8.11,22142
2002-04-01,5.21,80.479,83.238,1.75,8.03,21007
2002-05-01,5.16,80.531,83.331,1.75,8.09,19952
2002-06-01,4.93,80.632,83.463,1.75,7.95,21194
2002-07-01,4.65,80.810,83.632,1.73,7.90,21126
2002-08-01,4.26,80.969,83.797,1.74,7.58,17799
2002-09-01,3.87,81.115,83.934,1.75,7.40,17680
2002-10-01,3.94,81.262,84.005,1.75,7.73,21279
2002-11-01,4.05,81.343,84.087,1.34,7.62,24103
2002-12-01,4.03,81.421,84.165,1.24,7.45,37519
2003-01-01,4.05,81.664,84.223,1.24,7.35,36393
2003-02-01,3.90,82.009,84.339,1.26,7.06,26729
2003-03-01,3.81,82.219,84.474,1.25,6.95,23718
2003-04-01,3.96,82.080,84.568,1.26,6.85,24000
2003-05-01,3.57,81.986,84.690,1.26,6.38,20033
2003-06-01,3.33,82.074,84.738,1.22,6.19,24364
2003-07-01,3.98,82.315,84.949,1.01,6.62,22663
2003-08-01,4.45,82.593,85.045,1.03,7.01,17901
2003-09-01,4.27,82.852,85.164,1.01,6.79,18085
2003-10-01,4.29,82.862,85.320,1.01,6.73,18769
2003-11-01,4.30,82.967,85.437,1.00,6.66,21792
2003-12-01,4.27,83.150,85.544,0.98,6.60,34957
2004-01-01,4.15,83.471,85.763,1.00,6.44,33293
2004-02-01,4.08,83.649,85.902,1.01,6.27,22340
2004-03-01,3.83,83.778,86.046,1.00,6.11,19410
2004-04-01,4.35,83.934,86.270,1.00,6.46,20347
2004-05-01,4.72,84.206,86.388,1.00,6.75,17477
2004-06-01,4.73,84.447,86.525,1.03,6.78,21180
2004-07-01,4.50,84.525,86.628,1.26,6.62,19090
2004-08-01,4.28,84.569,86.661,1.43,6.46,16498
2004-09-01,4.13,84.735,86.823,1.61,6.27,16365
2004-10-01,4.10,85.099,87.012,1.76,6.21,17833
2004-11-01,4.19,85.427,87.199,1.93,6.20,21179
2004-12-01,4.23,85.473,87.311,2.16,6.15,28428
2005-01-01,4.22,85.585,87.625,2.28,6.02,34048
2005-02-01,4.17,85.823,87.770,2.50,5.82,20450
2005-03-01,4.50,86.080,87.987,2.63,6.06,21304
2005-04-01,4.34,86.321,88.089,2.79,6.05,18693
2005-05-01,4.14,86.370,88.269,3.00,6.01,16935
2005-06-01,4.00,86.423,88.330,3.04,5.86,21274
2005-07-01,4.18,86.790,88.460,3.26,5.95,19034
2005-08-01,4.26,87.140,88.532,3.50,5.96,16024
2005-09-01,4.20,87.981,88.728,3.62,6.03,15400
2005-10-01,4.46,88.121,88.982,3.78,6.30,17664
2005-11-01,4.54,87.938,89.210,4.00,6.39,20454
2005-12-01,4.47,87.938,89.302,4.16,6.32,32024
2006-01-01,4.42,88.364,89.503,4.29,6.24,29667
2006-02-01,4.57,88.417,89.647,4.49,6.27,21949
2006-03-01,4.72,88.588,89.894,4.59,6.41,20301
2006-04-01,4.99,88.999,90.169,4.79,6.68,19545
2006-05-01,5.11,89.239,90.395,4.94,6.75,19074
2006-06-01,5.11,89.459,90.623,4.99,6.78,22019
2006-07-01,5.09,89.765,90.712,5.24,6.76,21189
2006-08-01,4.88,90.047,90.896,5.25,6.59,16346
2006-09-01,4.72,89.812,91.040,5.25,6.43,16038
2006-10-01,4.73,89.599,91.204,5.25,6.42,18253
2006-11-01,4.60,89.630,91.248,5.25,6.20,21813
2006-12-01,4.56,89.949,91.370,5.24,6.22,31977
2007-01-01,4.76,90.249,91.741,5.25,6.34,31907
2007-02-01,4.72,90.529,91.939,5.26,6.28,27471
2007-03-01,4.56,90.861,92.032,5.26,6.27,21056
2007-04-01,4.69,91.074,92.163,5.25,6.39,22280
2007-05-01,4.75,91.339,92.272,5.25,6.39,17983
2007-06-01,5.10,91.532,92.424,5.25,6.70,21514
2007-07-01,5.00,91.672,92.563,5.26,6.65,21811
2007-08-01,4.67,91.734,92.701,5.02,6.65,17291
2007-09-01,4.52,92.088,92.954,4.94,6.59,16143
2007-10-01,4.53,92.367,93.196,4.76,6.48,19526
2007-11-01,4.15,92.856,93.379,4.49,6.40,22855
2007-12-01,4.10,93.072,93.567,4.24,6.65,33936
2008-01-01,3.74,93.307,93.753,3.94,6.54,32677
2008-02-01,3.74,93.492,93.844,2.98,6.82,25745
2008-03-01,3.51,93.760,94.028,2.61,6.89,23305
2008-04-01,3.68,93.934,94.083,2.28,6.97,21160
2008-05-01,3.88,94.337,94.255,1.98,6.93,20546
2008-06-01,4.10,95.021,94.471,2.00,7.07,25262
2008-07-01,4.01,95.463,94.641,2.01,7.16,22819
2008-08-01,3.89,95.386,94.757,2.00,7.15,20070
2008-09-01,3.69,95.465,94.854,1.81,7.31,20188
2008-10-01,3.81,94.835,94.719,0.97,8.88,23841
2008-11-01,3.53,93.716,94.677,0.39,9.21,31683
2008-12-01,2.42,93.192,94.631,0.16,8.43,45404
2009-01-01,2.52,93.203,94.602,0.15,8.14,47865
2009-02-01,2.87,93.369,94.677,0.22,8.08,38852
2009-03-01,2.82,93.267,94.745,0.18,8.42,38105
2009-04-01,2.93,93.401,94.957,0.15,8.39,37603
2009-05-01,3.29,93.498,95.030,0.18,8.06,34139
2009-06-01,3.72,94.053,95.151,0.21,7.50,39960
2009-07-01,3.56,94.063,95.233,0.16,7.09,35476
2009-08-01,3.59,94.336,95.374,0.16,6.58,29852
2009-09-01,3.40,94.489,95.541,0.15,6.31,28140
2009-10-01,3.39,94.847,95.893,0.12,6.29,29893
2009-11-01,3.40,95.084,95.978,0.12,6.32,32413
2009-12-01,3.59,95.140,96.060,0.12,6.37,40965
2010-01-01,3.73,95.348,96.201,0.11,6.25,43350
2010-02-01,3.69,95.345,96.285,0.13,6.34,32904
2010-03-01,3.73,95.480,96.429,0.16,6.27,26002
2010-04-01,3.85,95.532,96.478,0.20,6.25,25954
2010-05-01,3.42,95.562,96.585,0.20,6.05,23620
2010-06-01,3.20,95.522,96.632,0.18,6.23,26976
2010-07-01,3.01,95.604,96.633,0.18,6.01,24571
2010-08-01,2.70,95.735,96.726,0.19,5.66,21951
2010-09-01,2.65,95.830,96.781,0.19,5.66,20568
