DATE,patax,fpi
2001-03-01,6240,2001.963
2001-06-01,6559,1984.593
2001-09-01,5102,1975.026
2001-12-01,4751,1930.920
2002-03-01,6063,1912.366
2002-06-01,6219,1912.113
2002-09-01,5342,1907.764
2002-12-01,5046,1909.528
2003-03-01,6480,1934.140
2003-06-01,6319,1978.873
2003-09-01,5537,2043.866
2003-12-01,5332,2094.966
2004-03-01,7018,2108.027
2004-06-01,7237,2188.618
2004-09-01,6124,2254.106
2004-12-01,5743,2317.993
2005-03-01,7616,2383.590
2005-06-01,7779,2447.639
2005-09-01,6513,2518.722
2005-12-01,6039,2558.875
2006-03-01,8052,2631.526
2006-06-01,8446,2633.739
2006-09-01,6742,2630.666
2006-12-01,6370,2631.930
2007-03-01,8759,2642.923
2007-06-01,8967,2656.992
2007-09-01,7248,2641.047
2007-12-01,6722,2615.279
2008-03-01,9029,2580.374
2008-06-01,9125,2562.847
2008-09-01,7085,2514.067
2008-12-01,6478,2370.130
2009-03-01,8534,2165.874
2009-06-01,7904,2059.651
2009-09-01,6644,2045.422
2009-12-01,6315,2050.795
2010-03-01,8517,2039.398
2010-06-01,9039,2112.087
2010-09-01,7006,2123.598
2010-12-01,6751,2171.138
2011-03-01,9503,2173.885
2011-06-01,9085,2236.305
2011-09-01,7213,2334.873
2011-12-01,6856,2400.138
2012-03-01,9892,2487.473
2012-06-01,9016,2545.458
2012-09-01,7337,2559.690
2012-12-01,7253,2609.548
2013-03-01,10045,2655.966
2013-06-01,9284,2687.519
2013-09-01,7486,2743.781
2013-12-01,7316,2798.665
2014-03-01,10071,2846.963
2014-06-01,9256,2934.034
2014-09-01,7946,3008.181
2014-12-01,7888,3051.671
2015-03-01,10441,3069.402
2015-06-01,9766,3095.820
2015-09-01,8275,3124.874
2015-12-01,7926,3111.409
2016-03-01,11240,3119.873
2016-06-01,9881,3148.187
2016-09-01,8209,3182.316
2016-12-01,8171,3224.736
2017-03-01,10981,3279.671
2017-06-01,10399,3330.758
2017-09-01,8727,3362.523
2017-12-01,8815,3440.788
2018-03-01,11081,3508.645
2018-06-01,10770,3583.068
2018-09-01,9397,3611.702
2018-12-01,8971,3629.774
2019-03-01,11311,3659.427
2019-06-01,11703,3733.736
2019-09-01,9860,3778.600
2019-12-01,9502,3765.649
2020-03-01,11541,3751.239
2020-06-01,8184,3459.030
2020-09-01,11850,3706.422
2020-12-01,9952,3878.300
2021-03-01,12173,4004.072
2021-06-01,13359,4102.844
2021-09-01,11351,4164.285
2021-12-01,11153,4259.168
2022-03-01,13617,4413.608
2022-06-01,15846,4464.555
2022-09-01,,4490.055
