DATE,rgdp,fpi,gce,outms,pargdp,pamangdp,papi,pahouse,patax
2005-03-01,14767.846,2383.590,2426.138,101.952,588074.8,85830.9,442752.0,340.98,7616
2005-06-01,14839.707,2447.639,2452.246,102.517,592847.9,84045.9,450612.9,352.65,7779
2005-09-01,14956.291,2518.722,2494.438,102.211,598342.4,83019.9,456804.7,364.27,6513
2005-12-01,15041.232,2558.875,2528.432,103.508,600155.3,85164.9,463023.2,371.81,6039
2006-03-01,15244.088,2631.526,2580.086,104.112,591567.8,86190.5,467638.7,378.50,8052
2006-06-01,15281.525,2633.739,2610.565,104.011,595622.2,86407.2,474169.8,382.72,8446
2006-09-01,15304.517,2630.666,2630.28,104.230,599524.9,85853.0,479812.1,387.09,6742
2006-12-01,15433.643,2631.930,2674.454,104.571,602162.1,87425.5,485479.8,391.67,6370
2007-03-01,15478.956,2642.923,2718.491,105.829,605914.8,84958.2,496789.9,395.09,8759
2007-06-01,15577.779,2656.992,2769.958,107.416,611075.4,86558.3,504463.4,396.73,8967
2007-09-01,15671.605,2641.047,2808.718,107.710,621664.1,87895.4,510087.5,394.92,7248
2007-12-01,15767.146,2615.279,2865.057,108.149,630585.2,89255.4,515818.0,396.63,6722
2008-03-01,15702.906,2580.374,2909.64,107.306,629858.6,87217.2,519515.8,399.44,9029
2008-06-01,15792.773,2562.847,2971.642,105.131,639262.5,88277.3,533347.2,394.45,9125
2008-09-01,15709.562,2514.067,3029.032,101.516,632397.6,86125.2,527105.6,387.68,7085
2008-12-01,15366.607,2370.130,3021.826,95.711,617712.8,80990.1,525192.4,387.18,6478
2009-03-01,15187.475,2165.874,3022.046,89.688,606215.2,76593.2,510095.2,391.07,8534
2009-06-01,15161.772,2059.651,3070.452,87.699,605160.1,77036.4,513057.9,385.28,7904
2009-09-01,15216.647,2045.422,3092.057,89.930,607545.7,77139.6,510352.7,378.00,6644
2009-12-01,15379.155,2050.795,3120.796,91.631,621670.7,79314.8,520039.2,376.66,6315
2010-03-01,15456.059,2039.398,3133.819,93.408,616360.6,78134.0,523719.3,374.19,8517
