"","DATE","pghaww","pghmanuf","pghawwp","pghhouse","pghqwage"
"1","1990-01-01",NA,NA,NA,NA,NA
"2","1990-02-01",NA,NA,NA,NA,NA
"3","1990-03-01",444.637749639997,-0.8,438.876991926486,82.64,5768110584.56379
"4","1990-04-01",NA,NA,NA,NA,NA
"5","1990-05-01",NA,NA,NA,NA,NA
"6","1990-06-01",452.301295560257,0.2,445.758135029849,84.38,5889907961.81007
"7","1990-07-01",NA,NA,NA,NA,NA
"8","1990-08-01",NA,NA,NA,NA,NA
"9","1990-09-01",452.740312715003,1.2,446.702307212936,85.69,5914617123.27667
"10","1990-10-01",NA,NA,NA,NA,NA
"11","1990-11-01",NA,NA,NA,NA,NA
"12","1990-12-01",455.875178066754,-0.4,450.175085977156,85.9,5934031259.80127
"13","1991-01-01",NA,NA,NA,NA,NA
"14","1991-02-01",NA,NA,NA,NA,NA
"15","1991-03-01",459.941874655343,-3.3,453.129139814293,87.11,5991184059.6819
"16","1991-04-01",NA,NA,NA,NA,NA
"17","1991-05-01",NA,NA,NA,NA,NA
"18","1991-06-01",468.928302680218,-3.2,461.477891872168,88.8,6073466947.62026
"19","1991-07-01",NA,NA,NA,NA,NA
"20","1991-08-01",NA,NA,NA,NA,NA
"21","1991-09-01",472.851890473071,-1.5,464.814253809651,89.38,6110753451.83325
"22","1991-10-01",NA,NA,NA,NA,NA
"23","1991-11-01",NA,NA,NA,NA,NA
"24","1991-12-01",473.017845705143,0.7,464.399139645579,90.21,6114554069.62363
"25","1992-01-01",NA,NA,NA,NA,NA
"26","1992-02-01",NA,NA,NA,NA,NA
"27","1992-03-01",487.004170276661,3.2,478.041523841316,92.53,6332802914.13881
"28","1992-04-01",NA,NA,NA,NA,NA
"29","1992-05-01",NA,NA,NA,NA,NA
"30","1992-06-01",488.92227749785,4.7,481.723182715981,92.96,6387954692.01714
"31","1992-07-01",NA,NA,NA,NA,NA
"32","1992-08-01",NA,NA,NA,NA,NA
"33","1992-09-01",492.859321268201,3.9,484.840560957931,94.9,6442484341.84053
"34","1992-10-01",NA,NA,NA,NA,NA
"35","1992-11-01",NA,NA,NA,NA,NA
"36","1992-12-01",515.273005060346,4.3,508.320882911444,96.07,6713775384.30602
"37","1993-01-01",NA,NA,NA,NA,NA
"38","1993-02-01",NA,NA,NA,NA,NA
"39","1993-03-01",484.044365035996,5.3,473.669132115052,97.22,6373678796.20263
"40","1993-04-01",NA,NA,NA,NA,NA
"41","1993-05-01",NA,NA,NA,NA,NA
"42","1993-06-01",504.945391714319,3.5,496.125389096801,98.43,6617020331.22166
"43","1993-07-01",NA,NA,NA,NA,NA
"44","1993-08-01",NA,NA,NA,NA,NA
"45","1993-09-01",512.232799776361,2.6,503.231533067953,99.61,6723256511.65625
"46","1993-10-01",NA,NA,NA,NA,NA
"47","1993-11-01",NA,NA,NA,NA,NA
"48","1993-12-01",527.422836483508,3.5,519.480915438106,101.06,6920761959.84107
"49","1994-01-01",NA,NA,NA,NA,NA
"50","1994-02-01",NA,NA,NA,NA,NA
"51","1994-03-01",506.657218978586,3.4,496.824434711147,101.35,6681078820.29946
"52","1994-04-01",NA,NA,NA,NA,NA
"53","1994-05-01",NA,NA,NA,NA,NA
"54","1994-06-01",514.628872269664,5.4,506.414028374922,101.37,6813343399.65852
"55","1994-07-01",NA,NA,NA,NA,NA
"56","1994-08-01",NA,NA,NA,NA,NA
"57","1994-09-01",533.352060642375,6.6,522.256666115506,100.45,7084195616.15982
"58","1994-10-01",NA,NA,NA,NA,NA
"59","1994-11-01",NA,NA,NA,NA,NA
"60","1994-12-01",525.23507032442,7.1,515.486373290731,99.43,6977983497.93672
"61","1995-01-01",NA,NA,NA,NA,NA
"62","1995-02-01",NA,NA,NA,NA,NA
"63","1995-03-01",533.055286479963,6.9,523.680514328111,100,7139415911.15197
"64","1995-04-01",NA,NA,NA,NA,NA
"65","1995-05-01",NA,NA,NA,NA,NA
"66","1995-06-01",535.986808358434,4.5,526.44061347452,101.6,7168267216.32582
"67","1995-07-01",NA,NA,NA,NA,NA
"68","1995-08-01",NA,NA,NA,NA,NA
"69","1995-09-01",539.649655489962,3.7,530.535655063117,103.63,7203054518.33163
"70","1995-10-01",NA,NA,NA,NA,NA
"71","1995-11-01",NA,NA,NA,NA,NA
"72","1995-12-01",543.447698467977,2.3,532.610905049171,104.29,7272817982.13937
"73","1996-01-01",NA,NA,NA,NA,NA
"74","1996-02-01",NA,NA,NA,NA,NA
"75","1996-03-01",557.059913095247,1.6,547.280388709415,106.13,7477427530.35298
"76","1996-04-01",NA,NA,NA,NA,NA
"77","1996-05-01",NA,NA,NA,NA,NA
"78","1996-06-01",554.704758270612,3.8,542.641235207159,105.09,7481281321.03178
"79","1996-07-01",NA,NA,NA,NA,NA
"80","1996-08-01",NA,NA,NA,NA,NA
"81","1996-09-01",553.720381593061,4.9,543.451126850378,104.96,7457988010.82617
"82","1996-10-01",NA,NA,NA,NA,NA
"83","1996-11-01",NA,NA,NA,NA,NA
"84","1996-12-01",565.574889530618,5.2,559.455420298243,106.04,7652562205.47437
"85","1997-01-01",NA,NA,NA,NA,NA
"86","1997-02-01",NA,NA,NA,NA,NA
"87","1997-03-01",573.691945599071,7.1,565.624006151429,106.03,7822460361.66781
"88","1997-04-01",NA,NA,NA,NA,NA
"89","1997-05-01",NA,NA,NA,NA,NA
"90","1997-06-01",576.637646168819,6.2,566.90978450445,106.85,7836763626.35707
"91","1997-07-01",NA,NA,NA,NA,NA
"92","1997-08-01",NA,NA,NA,NA,NA
"93","1997-09-01",586.279981224307,6.7,578.136799726429,107.58,7976984541.86279
"94","1997-10-01",NA,NA,NA,NA,NA
"95","1997-11-01",NA,NA,NA,NA,NA
"96","1997-12-01",593.565616492523,7.9,584.510172880693,108.87,8158705834.69904
"97","1998-01-01",NA,NA,NA,NA,NA
"98","1998-02-01",NA,NA,NA,NA,NA
"99","1998-03-01",590.147768756543,6.9,582.01547404927,111.69,8111222434.96961
"100","1998-04-01",NA,NA,NA,NA,NA
"101","1998-05-01",NA,NA,NA,NA,NA
"102","1998-06-01",601.188366431821,5.4,592.426016937631,111.42,8315704762.27328
"103","1998-07-01",NA,NA,NA,NA,NA
"104","1998-08-01",NA,NA,NA,NA,NA
"105","1998-09-01",598.648945890445,3.7,589.617489847024,112.07,8291425563.58703
"106","1998-10-01",NA,NA,NA,NA,NA
"107","1998-11-01",NA,NA,NA,NA,NA
"108","1998-12-01",618.520799072443,3.1,609.484401772322,114.22,8644871089.64263
"109","1999-01-01",NA,NA,NA,NA,NA
"110","1999-02-01",NA,NA,NA,NA,NA
"111","1999-03-01",597.141744336543,3.4,588.04417596505,114.96,8484219176.32049
"112","1999-04-01",NA,NA,NA,NA,NA
"113","1999-05-01",NA,NA,NA,NA,NA
"114","1999-06-01",633.531226791479,4.4,626.533088981943,114.86,8887562577.58843
"115","1999-07-01",NA,NA,NA,NA,NA
"116","1999-08-01",NA,NA,NA,NA,NA
"117","1999-09-01",637.574006197666,4.5,631.073755932457,114.78,9141709963.69978
"118","1999-10-01",NA,NA,NA,NA,NA
"119","1999-11-01",NA,NA,NA,NA,NA
"120","1999-12-01",652.819734519043,4.5,644.595060812825,114.85,9205025747.47651
"121","2000-01-01",NA,NA,NA,NA,NA
"122","2000-02-01",NA,NA,NA,NA,NA
"123","2000-03-01",651.448765936937,4,644.271213207129,116.19,9279261817.26353
"124","2000-04-01",NA,NA,NA,NA,NA
"125","2000-05-01",NA,NA,NA,NA,NA
"126","2000-06-01",641.736783593929,3.9,635.306712140577,118.07,9167371011.32675
"127","2000-07-01",NA,NA,NA,NA,NA
"128","2000-08-01",NA,NA,NA,NA,NA
"129","2000-09-01",648.021691349847,2.8,641.948408287907,119.45,9245624077.877
"130","2000-10-01",NA,NA,NA,NA,NA
"131","2000-11-01",NA,NA,NA,NA,NA
"132","2000-12-01",651.281456977519,0.1,644.055614252128,121.21,9351191392.18022
"133","2001-01-01",NA,NA,NA,NA,NA
"134","2001-02-01",NA,NA,NA,NA,NA
"135","2001-03-01",671.574162646014,-2.4,663.361979349349,124.81,9718079480.54441
"136","2001-04-01",NA,NA,NA,NA,NA
"137","2001-05-01",NA,NA,NA,NA,NA
"138","2001-06-01",669.777429459512,-4.8,662.136208397764,126.18,9614592191.83956
"139","2001-07-01",NA,NA,NA,NA,NA
"140","2001-08-01",NA,NA,NA,NA,NA
"141","2001-09-01",672.411654866889,-5.9,661.68163603417,127.58,9591149272.83951
"142","2001-10-01",NA,NA,NA,NA,NA
"143","2001-11-01",NA,NA,NA,NA,NA
"144","2001-12-01",669.750796362682,-5.9,660.357237395886,129.14,9531789130.52041
"145","2002-01-01",NA,NA,NA,NA,NA
"146","2002-02-01",NA,NA,NA,NA,NA
"147","2002-03-01",677.445269728861,-3,667.197336001316,131.01,9640983926.89106
"148","2002-04-01",NA,NA,NA,NA,NA
"149","2002-05-01",NA,NA,NA,NA,NA
"150","2002-06-01",681.448517597514,0.3,671.72840664993,131.74,9671973037.5342
"151","2002-07-01",NA,NA,NA,NA,NA
"152","2002-08-01",NA,NA,NA,NA,NA
"153","2002-09-01",685.344986033634,3,673.876580903253,133.92,9708604851.07214
"154","2002-10-01",NA,NA,NA,NA,NA
"155","2002-11-01",NA,NA,NA,NA,NA
"156","2002-12-01",685.926497091591,3.8,675.406547269622,135.48,9708912150.47163
"157","2003-01-01",NA,NA,NA,NA,NA
"158","2003-02-01",NA,NA,NA,NA,NA
"159","2003-03-01",688.853769364119,3,678.427482632938,136.74,9702869040.04438
"160","2003-04-01",NA,NA,NA,NA,NA
"161","2003-05-01",NA,NA,NA,NA,NA
"162","2003-06-01",696.492129887873,0.6,685.847351421969,138.08,9770035113.53809
"163","2003-07-01",NA,NA,NA,NA,NA
"164","2003-08-01",NA,NA,NA,NA,NA
"165","2003-09-01",702.122975172217,0.3,693.969225866725,139.46,9833712452.04045
"166","2003-10-01",NA,NA,NA,NA,NA
"167","2003-11-01",NA,NA,NA,NA,NA
"168","2003-12-01",711.657817567701,1.4,703.948680760224,142.04,9975728583.27636
"169","2004-01-01",NA,NA,NA,NA,NA
"170","2004-02-01",NA,NA,NA,NA,NA
"171","2004-03-01",708.69754255327,1.3,697.836962620044,143.66,9962903644.76414
"172","2004-04-01",NA,NA,NA,NA,NA
"173","2004-05-01",NA,NA,NA,NA,NA
"174","2004-06-01",717.42510622222,2.5,707.146346583614,144.58,10094150243.1786
"175","2004-07-01",NA,NA,NA,NA,NA
"176","2004-08-01",NA,NA,NA,NA,NA
"177","2004-09-01",730.329847423065,2.8,720.171365245654,146.54,10267843567.1057
"178","2004-10-01",NA,NA,NA,NA,NA
"179","2004-11-01",NA,NA,NA,NA,NA
